day,total_sales,average_order_value,orders
2021-12-20,5015.4,49.605,91
2021-12-21,3906.19,58.06,64
2021-12-22,3883.34,51.385,68
2021-12-23,3058.53,64.583,44
2021-12-24,3813.46,56.158,61
2021-12-25,1338.53,39.569,30
2021-12-26,3799.81,50.164,67
2021-12-27,4633.5,55.535,74
2021-12-28,9089.01,68.562,121
2021-12-29,5742.75,60.885,88
2021-12-30,5070.84,57.643,79
2021-12-31,7254.37,61.886,108
2022-01-01,5113.52,52.882,87
2022-01-02,3880.34,47.816,71
2022-01-03,7459.7,67.875,102
2022-01-04,5761.73,53.583,100
2022-01-05,9948.06,59.267,151
2022-01-06,6233.36,57.265,99
2022-01-07,3490.5,44.471,68
2022-01-08,4092.89,58.612,63
2022-01-09,6694.95,57.506,105
2022-01-10,7054.42,59.127,109
2022-01-11,8103.13,57.713,126
2022-01-12,5066.57,56.176,81
2022-01-13,7199.41,64.828,101
2022-01-14,6141.9,63.019,88
2022-01-15,4935.82,47.506,91
2022-01-16,10550.94,58.247,171
2022-01-17,10114.4,59.354,155
2022-01-18,5684.69,52.017,97
2022-01-19,5488.96,60.681,82
2022-01-20,4774.02,60.152,75
2022-01-21,5171.91,50.792,91
